"record_id","mofa_material_id","source_url","legacy_archive_id","title_jp","title_en","release_status","years","primary_subject_jp","primary_subject_en","region_labels_en","region_labels_jp","reaction_region_labels_en","reaction_region_labels_jp","entity_labels_en","entity_labels_jp","organization_labels_en","organization_labels_jp","related_organization_labels_en","related_organization_labels_jp","event_labels_en","event_labels_jp","bloc_labels_en","bloc_labels_jp","keyword_labels_en","keyword_labels_jp","analytical_context_labels_en","analytical_context_labels_jp","search_text_jp","search_text_en","search_text_all"
"mofa_100_112015","100-112015","https://da.mofa.go.jp/material-detail?id=100-112015","C'.4.2.0.1","各国兵器関係（第二巻）","Weapons and Armaments in Various Countries (Vol. 2)","Partially Open","","","","Africa; Asia-Pacific; Middle East / Near East","アフリカ; アジア太平洋; 中東・中近東","","","Australia; Egypt; Indonesia; India; Israel; Kenya; New Zealand; People's Republic of China; Singapore; Syria; Thailand; Turkey","オーストラリア; エジプト; インドネシア; インド; イスラエル; ケニア; ニュージーランド; 中華人民共和国; シンガポール; シリア; タイ; トルコ","","","","","","","","","","","","","各国兵器関係（第二巻）; アフリカ; アジア太平洋; 中東・中近東; オーストラリア; エジプト; インドネシア; インド; イスラエル; ケニア; ニュージーランド; 中華人民共和国; シンガポール; シリア; タイ; トルコ; C'.4.2.0.1; 100-112015","Weapons and Armaments in Various Countries (Vol. 2); Africa; Asia-Pacific; Middle East / Near East; Australia; Egypt; Indonesia; India; Israel; Kenya; New Zealand; People's Republic of China; Singapore; Syria; Thailand; Turkey; C'.4.2.0.1; 100-112015","各国兵器関係（第二巻）; アフリカ; アジア太平洋; 中東・中近東; オーストラリア; エジプト; インドネシア; インド; イスラエル; ケニア; ニュージーランド; 中華人民共和国; シンガポール; シリア; タイ; トルコ; C'.4.2.0.1; 100-112015; Weapons and Armaments in Various Countries (Vol. 2); Africa; Asia-Pacific; Middle East / Near East; Australia; Egypt; Indonesia; India; Israel; Kenya; New Zealand; People's Republic of China; Singapore; Syria; Thailand; Turkey; C'.4.2.0.1; 100-112015; ASIA_PACIFIC;MIDEAST;AFRICA; AUS;SGP;PRC;THA;NZL;IND;IDN;SYR;TUR;ISR;EGY;KEN"
"mofa_100_000928","100-000928","https://da.mofa.go.jp/material-detail?id=100-000928","M'.3.1.7.8-2-4","在外公館長会議関係 アジア、太平洋地域公館公館長会議 第四回（第一巻）","Meetings of Chiefs of Overseas Missions: Fourth Meeting of Chiefs of Missions in the Asia-Pacific Region (Vol. 1)","Open","","","","Asia-Pacific","アジア太平洋","","","Japan","日本","","","","","","","","","","","","","在外公館長会議関係 アジア、太平洋地域公館公館長会議 第四回（第一巻）; アジア太平洋; 日本; M'.3.1.7.8-2-4; 100-000928","Meetings of Chiefs of Overseas Missions: Fourth Meeting of Chiefs of Missions in the Asia-Pacific Region (Vol. 1); Asia-Pacific; Japan; M'.3.1.7.8-2-4; 100-000928","在外公館長会議関係 アジア、太平洋地域公館公館長会議 第四回（第一巻）; アジア太平洋; 日本; M'.3.1.7.8-2-4; 100-000928; Meetings of Chiefs of Overseas Missions: Fourth Meeting of Chiefs of Missions in the Asia-Pacific Region (Vol. 1); Asia-Pacific; Japan; M'.3.1.7.8-2-4; 100-000928; ASIA_PACIFIC; JPN"
"mofa_100_053589","100-053589","https://da.mofa.go.jp/material-detail?id=100-053589","M'.3.1.7.8-6-5","在外公館長会議関係 中近東地域公館長会議 第五回会議関係（第二巻）","Meetings of Chiefs of Overseas Missions: Fifth Meeting of Chiefs of Missions in the Middle East Region (Vol. 2)","Partially Open","","","","Middle East / Near East","中東・中近東","","","Japan","日本","","","","","","","","","","","","","在外公館長会議関係 中近東地域公館長会議 第五回会議関係（第二巻）; 中東・中近東; 日本; M'.3.1.7.8-6-5; 100-053589","Meetings of Chiefs of Overseas Missions: Fifth Meeting of Chiefs of Missions in the Middle East Region (Vol. 2); Middle East / Near East; Japan; M'.3.1.7.8-6-5; 100-053589","在外公館長会議関係 中近東地域公館長会議 第五回会議関係（第二巻）; 中東・中近東; 日本; M'.3.1.7.8-6-5; 100-053589; Meetings of Chiefs of Overseas Missions: Fifth Meeting of Chiefs of Missions in the Middle East Region (Vol. 2); Middle East / Near East; Japan; M'.3.1.7.8-6-5; 100-053589; MIDEAST; JPN"
"mofa_100_006322","100-006322","https://da.mofa.go.jp/material-detail?id=100-006322","2011-0710","日中国交正常化（諸外国の反応）","Normalization of Japan-PRC Relations: Reactions of Foreign Countries","Partially Open","","","","Asia","アジア","","","Japan; People's Republic of China; Republic of China; Taiwan","日本; 中華人民共和国; 中華民国; 台湾","","","","","","","","","","","","","日中国交正常化（諸外国の反応）; アジア; 日本; 中華人民共和国; 中華民国; 台湾; 2011-0710; 100-006322","Normalization of Japan-PRC Relations: Reactions of Foreign Countries; Asia; Japan; People's Republic of China; Republic of China; Taiwan; 2011-0710; 100-006322","日中国交正常化（諸外国の反応）; アジア; 日本; 中華人民共和国; 中華民国; 台湾; 2011-0710; 100-006322; Normalization of Japan-PRC Relations: Reactions of Foreign Countries; Asia; Japan; People's Republic of China; Republic of China; Taiwan; 2011-0710; 100-006322; ASIA; JPN;PRC;ROC;TWN"
"mofa_100_006324","100-006324","https://da.mofa.go.jp/material-detail?id=100-006324","2011-0712","日中国交正常化（諸外国の反応）","Normalization of Japan-PRC Relations: Reactions of Foreign Countries","Partially Open","","","","Asia","アジア","","","Japan; People's Republic of China; Republic of China; Taiwan","日本; 中華人民共和国; 中華民国; 台湾","","","","","","","","","","","","","日中国交正常化（諸外国の反応）; アジア; 日本; 中華人民共和国; 中華民国; 台湾; 2011-0712; 100-006324","Normalization of Japan-PRC Relations: Reactions of Foreign Countries; Asia; Japan; People's Republic of China; Republic of China; Taiwan; 2011-0712; 100-006324","日中国交正常化（諸外国の反応）; アジア; 日本; 中華人民共和国; 中華民国; 台湾; 2011-0712; 100-006324; Normalization of Japan-PRC Relations: Reactions of Foreign Countries; Asia; Japan; People's Republic of China; Republic of China; Taiwan; 2011-0712; 100-006324; ASIA; JPN;PRC;ROC;TWN"
"mofa_100_006326","100-006326","https://da.mofa.go.jp/material-detail?id=100-006326","2011-0714","日中国交正常化（田中総理中国訪問（諸外国の反応））","Normalization of Japan-PRC Relations: Reactions of Foreign Countries to Prime Minister Tanaka's Visit to China","Open","","","","Asia","アジア","","","Japan; People's Republic of China; Taiwan","日本; 中華人民共和国; 台湾","","","","","","","","","","","","","日中国交正常化（田中総理中国訪問（諸外国の反応））; アジア; 日本; 中華人民共和国; 台湾; 2011-0714; 100-006326","Normalization of Japan-PRC Relations: Reactions of Foreign Countries to Prime Minister Tanaka's Visit to China; Asia; Japan; People's Republic of China; Taiwan; 2011-0714; 100-006326","日中国交正常化（田中総理中国訪問（諸外国の反応））; アジア; 日本; 中華人民共和国; 台湾; 2011-0714; 100-006326; Normalization of Japan-PRC Relations: Reactions of Foreign Countries to Prime Minister Tanaka's Visit to China; Asia; Japan; People's Republic of China; Taiwan; 2011-0714; 100-006326; ASIA; JPN;PRC;TWN"
"mofa_100_006897","100-006897","https://da.mofa.go.jp/material-detail?id=100-006897","2013-3308","日中関係","Japan-China Relations","Partially Open","","","","Asia","アジア","","","China Representation and Recognition Competition; Japan; People's Republic of China","中国代表権・承認競争; 日本; 中華人民共和国","","","","","","","","","","","","","日中関係; アジア; 中国代表権・承認競争; 日本; 中華人民共和国; 2013-3308; 100-006897","Japan-China Relations; Asia; China Representation and Recognition Competition; Japan; People's Republic of China; 2013-3308; 100-006897","日中関係; アジア; 中国代表権・承認競争; 日本; 中華人民共和国; 2013-3308; 100-006897; Japan-China Relations; Asia; China Representation and Recognition Competition; Japan; People's Republic of China; 2013-3308; 100-006897; ASIA; JPN;PRC;CHN_AMBIG"
"mofa_100_110350","100-110350","https://da.mofa.go.jp/material-detail?id=100-110350","2016-0275","日中関係(総理/大臣等発言要領)","Japan-China Relations: Statements by the Prime Minister, Ministers, and Other Officials","Open","","","","Asia","アジア","","","China Representation and Recognition Competition; Japan; People's Republic of China","中国代表権・承認競争; 日本; 中華人民共和国","","","","","","","","","","","","","日中関係(総理/大臣等発言要領); アジア; 中国代表権・承認競争; 日本; 中華人民共和国; 2016-0275; 100-110350","Japan-China Relations: Statements by the Prime Minister, Ministers, and Other Officials; Asia; China Representation and Recognition Competition; Japan; People's Republic of China; 2016-0275; 100-110350","日中関係(総理/大臣等発言要領); アジア; 中国代表権・承認競争; 日本; 中華人民共和国; 2016-0275; 100-110350; Japan-China Relations: Statements by the Prime Minister, Ministers, and Other Officials; Asia; China Representation and Recognition Competition; Japan; People's Republic of China; 2016-0275; 100-110350; ASIA; JPN;PRC;CHN_AMBIG"
"mofa_100_101788","100-101788","https://da.mofa.go.jp/material-detail?id=100-101788","2014-3076","華国鋒中国国務院総理訪日/報道振り返り","Visit to Japan by PRC Premier Hua Guofeng: Press Review","Open","","","","Asia","アジア","","","Japan; People's Republic of China","日本; 中華人民共和国","","","","","","","","","","","","","華国鋒中国国務院総理訪日/報道振り返り; アジア; 日本; 中華人民共和国; 2014-3076; 100-101788","Visit to Japan by PRC Premier Hua Guofeng: Press Review; Asia; Japan; People's Republic of China; 2014-3076; 100-101788","華国鋒中国国務院総理訪日/報道振り返り; アジア; 日本; 中華人民共和国; 2014-3076; 100-101788; Visit to Japan by PRC Premier Hua Guofeng: Press Review; Asia; Japan; People's Republic of China; 2014-3076; 100-101788; ASIA; JPN;PRC"
"mofa_100_111122","100-111122","https://da.mofa.go.jp/material-detail?id=100-111122","2016-1326","米国政治（含、対日関係）","United States Politics, Including Relations with Japan","Partially Open","","","","North America","北米","Africa; Central America; East Asia; Global / Worldwide; Latin America; Middle East / Near East; South Asia","アフリカ; 中米; 東アジア; 全世界; ラテンアメリカ・中南米; 中東・中近東; 南アジア","Japan; United States","日本; 米国","United Nations; United Nations General Assembly","国際連合／国連; 国連総会","","","","","","","","","","","米国政治（含、対日関係）; 北米; アフリカ; 中米; 東アジア; 全世界; ラテンアメリカ・中南米; 中東・中近東; 南アジア; 日本; 米国; 国際連合／国連; 国連総会; 2016-1326; 100-111122","United States Politics, Including Relations with Japan; North America; Africa; Central America; East Asia; Global / Worldwide; Latin America; Middle East / Near East; South Asia; Japan; United States; United Nations; United Nations General Assembly; 2016-1326; 100-111122","米国政治（含、対日関係）; 北米; アフリカ; 中米; 東アジア; 全世界; ラテンアメリカ・中南米; 中東・中近東; 南アジア; 日本; 米国; 国際連合／国連; 国連総会; 2016-1326; 100-111122; United States Politics, Including Relations with Japan; North America; Africa; Central America; East Asia; Global / Worldwide; Latin America; Middle East / Near East; South Asia; Japan; United States; United Nations; United Nations General Assembly; 2016-1326; 100-111122; NORTH_AMERICA; EAST_ASIA;SOUTH_ASIA;MIDEAST;AFRICA;LATIN_AMERICA;CENTRAL_AMERICA;GLOBAL; USA;JPN; UN;UNGA"
"mofa_100_077384","100-077384","https://da.mofa.go.jp/material-detail?id=100-077384","2013-0327","ニュー・ジーランド外交","New Zealand Diplomacy","Partially Open","","","","Asia-Pacific","アジア太平洋","","","New Zealand","ニュージーランド","","","","","","","Asian Communist Bloc; Asian Free World","アジア共産圏; アジア自由圏","","","","","ニュー・ジーランド外交; アジア太平洋; ニュージーランド; アジア共産圏; アジア自由圏; 2013-0327; 100-077384","New Zealand Diplomacy; Asia-Pacific; New Zealand; Asian Communist Bloc; Asian Free World; 2013-0327; 100-077384","ニュー・ジーランド外交; アジア太平洋; ニュージーランド; アジア共産圏; アジア自由圏; 2013-0327; 100-077384; New Zealand Diplomacy; Asia-Pacific; New Zealand; Asian Communist Bloc; Asian Free World; 2013-0327; 100-077384; ASIA_PACIFIC; NZL; ASIAN_FREE_WORLD;ASIAN_COMMUNIST_BLOC"
"mofa_100_110682","100-110682","https://da.mofa.go.jp/material-detail?id=100-110682","2016-0860","ニュー・ジーランド外交","New Zealand Diplomacy","Open","","","","Asia-Pacific","アジア太平洋","","","New Zealand","ニュージーランド","","","","","","","","","","","","","ニュー・ジーランド外交; アジア太平洋; ニュージーランド; 2016-0860; 100-110682","New Zealand Diplomacy; Asia-Pacific; New Zealand; 2016-0860; 100-110682","ニュー・ジーランド外交; アジア太平洋; ニュージーランド; 2016-0860; 100-110682; New Zealand Diplomacy; Asia-Pacific; New Zealand; 2016-0860; 100-110682; ASIA_PACIFIC; NZL"
"mofa_100_006829","100-006829","https://da.mofa.go.jp/material-detail?id=100-006829","2013-2429","中共・アフリカ諸国関係","PRC-Africa Relations","Partially Open","","","","Africa","アフリカ","","","People's Republic of China","中華人民共和国","","","","","","","","","","","","","中共・アフリカ諸国関係; アフリカ; 中華人民共和国; 2013-2429; 100-006829","PRC-Africa Relations; Africa; People's Republic of China; 2013-2429; 100-006829","中共・アフリカ諸国関係; アフリカ; 中華人民共和国; 2013-2429; 100-006829; PRC-Africa Relations; Africa; People's Republic of China; 2013-2429; 100-006829; AFRICA; PRC"
"mofa_100_070115","100-070115","https://da.mofa.go.jp/material-detail?id=100-070115","2013-2430","中共・アフリカ諸国関係","PRC-Africa Relations","Partially Open","","","","Africa","アフリカ","","","People's Republic of China","中華人民共和国","","","","","","","","","","","","","中共・アフリカ諸国関係; アフリカ; 中華人民共和国; 2013-2430; 100-070115","PRC-Africa Relations; Africa; People's Republic of China; 2013-2430; 100-070115","中共・アフリカ諸国関係; アフリカ; 中華人民共和国; 2013-2430; 100-070115; PRC-Africa Relations; Africa; People's Republic of China; 2013-2430; 100-070115; AFRICA; PRC"
"mofa_100_070114","100-070114","https://da.mofa.go.jp/material-detail?id=100-070114","2013-2431","中共・アフリカ諸国関係","PRC-Africa Relations","Partially Open","","","","Africa","アフリカ","","","People's Republic of China","中華人民共和国","","","","","","","","","","","","","中共・アフリカ諸国関係; アフリカ; 中華人民共和国; 2013-2431; 100-070114","PRC-Africa Relations; Africa; People's Republic of China; 2013-2431; 100-070114","中共・アフリカ諸国関係; アフリカ; 中華人民共和国; 2013-2431; 100-070114; PRC-Africa Relations; Africa; People's Republic of China; 2013-2431; 100-070114; AFRICA; PRC"
"mofa_100_070860","100-070860","https://da.mofa.go.jp/material-detail?id=100-070860","2013-2432","中共・アフリカ諸国関係","PRC-Africa Relations","Partially Open","","","","Africa","アフリカ","","","People's Republic of China","中華人民共和国","","","","","","","","","","","","","中共・アフリカ諸国関係; アフリカ; 中華人民共和国; 2013-2432; 100-070860","PRC-Africa Relations; Africa; People's Republic of China; 2013-2432; 100-070860","中共・アフリカ諸国関係; アフリカ; 中華人民共和国; 2013-2432; 100-070860; PRC-Africa Relations; Africa; People's Republic of China; 2013-2432; 100-070860; AFRICA; PRC"
"mofa_100_070113","100-070113","https://da.mofa.go.jp/material-detail?id=100-070113","2013-2433","中共・中近東、アフリカ諸国関係","PRC Relations with the Middle East and African Countries","Access Review Required","","","","Africa; Middle East / Near East","アフリカ; 中東・中近東","","","People's Republic of China","中華人民共和国","","","","","","","","","","","","","中共・中近東、アフリカ諸国関係; アフリカ; 中東・中近東; 中華人民共和国; 2013-2433; 100-070113","PRC Relations with the Middle East and African Countries; Africa; Middle East / Near East; People's Republic of China; 2013-2433; 100-070113","中共・中近東、アフリカ諸国関係; アフリカ; 中東・中近東; 中華人民共和国; 2013-2433; 100-070113; PRC Relations with the Middle East and African Countries; Africa; Middle East / Near East; People's Republic of China; 2013-2433; 100-070113; MIDEAST;AFRICA; PRC"
"mofa_100_070337","100-070337","https://da.mofa.go.jp/material-detail?id=100-070337","2013-2434","中共・中近東、アフリカ諸国関係","PRC Relations with the Middle East and African Countries","Access Review Required","","","","Africa; Middle East / Near East","アフリカ; 中東・中近東","","","People's Republic of China","中華人民共和国","","","","","","","","","","","","","中共・中近東、アフリカ諸国関係; アフリカ; 中東・中近東; 中華人民共和国; 2013-2434; 100-070337","PRC Relations with the Middle East and African Countries; Africa; Middle East / Near East; People's Republic of China; 2013-2434; 100-070337","中共・中近東、アフリカ諸国関係; アフリカ; 中東・中近東; 中華人民共和国; 2013-2434; 100-070337; PRC Relations with the Middle East and African Countries; Africa; Middle East / Near East; People's Republic of China; 2013-2434; 100-070337; MIDEAST;AFRICA; PRC"
"mofa_100_070338","100-070338","https://da.mofa.go.jp/material-detail?id=100-070338","2013-2435","中共・中近東、アフリカ諸国関係","PRC Relations with the Middle East and African Countries","Access Review Required","","","","Africa; Middle East / Near East","アフリカ; 中東・中近東","","","People's Republic of China","中華人民共和国","","","","","Third Conference of Heads of State or Government of Non-Aligned Countries","第三回非同盟諸国首脳会議","Non-Aligned Movement","非同盟運動／非同盟諸国","","","","","中共・中近東、アフリカ諸国関係; アフリカ; 中東・中近東; 中華人民共和国; 第三回非同盟諸国首脳会議; 非同盟運動／非同盟諸国; 2013-2435; 100-070338","PRC Relations with the Middle East and African Countries; Africa; Middle East / Near East; People's Republic of China; Third Conference of Heads of State or Government of Non-Aligned Countries; Non-Aligned Movement; 2013-2435; 100-070338","中共・中近東、アフリカ諸国関係; アフリカ; 中東・中近東; 中華人民共和国; 第三回非同盟諸国首脳会議; 非同盟運動／非同盟諸国; 2013-2435; 100-070338; PRC Relations with the Middle East and African Countries; Africa; Middle East / Near East; People's Republic of China; Third Conference of Heads of State or Government of Non-Aligned Countries; Non-Aligned Movement; 2013-2435; 100-070338; MIDEAST;AFRICA; PRC; NAM_SUMMIT_3_1970; NON_ALIGNED_MOVEMENT"
"mofa_100_070859","100-070859","https://da.mofa.go.jp/material-detail?id=100-070859","2013-2436","中共・中近東、アフリカ諸国関係","PRC Relations with the Middle East and African Countries","Access Review Required","","","","Africa; Middle East / Near East","アフリカ; 中東・中近東","","","People's Republic of China","中華人民共和国","","","","","","","","","","","","","中共・中近東、アフリカ諸国関係; アフリカ; 中東・中近東; 中華人民共和国; 2013-2436; 100-070859","PRC Relations with the Middle East and African Countries; Africa; Middle East / Near East; People's Republic of China; 2013-2436; 100-070859","中共・中近東、アフリカ諸国関係; アフリカ; 中東・中近東; 中華人民共和国; 2013-2436; 100-070859; PRC Relations with the Middle East and African Countries; Africa; Middle East / Near East; People's Republic of China; 2013-2436; 100-070859; MIDEAST;AFRICA; PRC"
"mofa_100_070116","100-070116","https://da.mofa.go.jp/material-detail?id=100-070116","2013-2437","中共・中近東、アフリカ諸国関係","PRC Relations with the Middle East and African Countries","Access Review Required","","","","Africa; Middle East / Near East","アフリカ; 中東・中近東","","","People's Republic of China","中華人民共和国","","","","","","","","","","","","","中共・中近東、アフリカ諸国関係; アフリカ; 中東・中近東; 中華人民共和国; 2013-2437; 100-070116","PRC Relations with the Middle East and African Countries; Africa; Middle East / Near East; People's Republic of China; 2013-2437; 100-070116","中共・中近東、アフリカ諸国関係; アフリカ; 中東・中近東; 中華人民共和国; 2013-2437; 100-070116; PRC Relations with the Middle East and African Countries; Africa; Middle East / Near East; People's Republic of China; 2013-2437; 100-070116; MIDEAST;AFRICA; PRC"
"mofa_100_112859","100-112859","https://da.mofa.go.jp/material-detail?id=100-112859","2017-0035","中国・ソ連関係","Sino-Soviet Relations","Access Review Required","","","","Asia","アジア","","","People's Republic of China; Soviet Union","中華人民共和国; ソ連","","","","","","","","","","","","","中国・ソ連関係; アジア; 中華人民共和国; ソ連; 2017-0035; 100-112859","Sino-Soviet Relations; Asia; People's Republic of China; Soviet Union; 2017-0035; 100-112859","中国・ソ連関係; アジア; 中華人民共和国; ソ連; 2017-0035; 100-112859; Sino-Soviet Relations; Asia; People's Republic of China; Soviet Union; 2017-0035; 100-112859; ASIA; PRC;USSR"
"mofa_100_070132","100-070132","https://da.mofa.go.jp/material-detail?id=100-070132","2012-1600","ビルマ外交","Burmese Diplomacy","Partially Open","","","","Asia","アジア","","","Myanmar/Burma","ビルマ／ミャンマー","","","","","","","","","","","","","ビルマ外交; アジア; ビルマ／ミャンマー; 2012-1600; 100-070132","Burmese Diplomacy; Asia; Myanmar/Burma; 2012-1600; 100-070132","ビルマ外交; アジア; ビルマ／ミャンマー; 2012-1600; 100-070132; Burmese Diplomacy; Asia; Myanmar/Burma; 2012-1600; 100-070132; ASIA; MMR"
"mofa_100_043360","100-043360","https://da.mofa.go.jp/material-detail?id=100-043360","2010-5146","アンゴラ独立/各国承認状況","Angolan Independence: Recognition by Various Countries","Partially Open","","","","Africa","アフリカ","","","Angola","アンゴラ","","","","","","","","","","","","","アンゴラ独立/各国承認状況; アフリカ; アンゴラ; 2010-5146; 100-043360","Angolan Independence: Recognition by Various Countries; Africa; Angola; 2010-5146; 100-043360","アンゴラ独立/各国承認状況; アフリカ; アンゴラ; 2010-5146; 100-043360; Angolan Independence: Recognition by Various Countries; Africa; Angola; 2010-5146; 100-043360; AFRICA; AGO"
"mofa_100_112095","100-112095","https://da.mofa.go.jp/material-detail?id=100-112095","2016-2224","中東情勢","Middle East Situation","Access Review Required","","","","Middle East / Near East","中東・中近東","","","","","","","","","","","Socialist Bloc / Socialist Camp","社会主義圏／社会主義陣営","","","","","中東情勢; 中東・中近東; 社会主義圏／社会主義陣営; 2016-2224; 100-112095","Middle East Situation; Middle East / Near East; Socialist Bloc / Socialist Camp; 2016-2224; 100-112095","中東情勢; 中東・中近東; 社会主義圏／社会主義陣営; 2016-2224; 100-112095; Middle East Situation; Middle East / Near East; Socialist Bloc / Socialist Camp; 2016-2224; 100-112095; MIDEAST; SOCIALIST_BLOC"
"mofa_100_075248","100-075248","https://da.mofa.go.jp/material-detail?id=100-075248","2012-3120","中東情勢","Middle East Situation","Partially Open","","","","Middle East / Near East","中東・中近東","","","","","","","","","","","","","","","","","中東情勢; 中東・中近東; 2012-3120; 100-075248","Middle East Situation; Middle East / Near East; 2012-3120; 100-075248","中東情勢; 中東・中近東; 2012-3120; 100-075248; Middle East Situation; Middle East / Near East; 2012-3120; 100-075248; MIDEAST"
"mofa_100_075249","100-075249","https://da.mofa.go.jp/material-detail?id=100-075249","2012-3121","中東情勢","Middle East Situation","Partially Open","","","","Middle East / Near East","中東・中近東","","","","","","","","","","","","","","","","","中東情勢; 中東・中近東; 2012-3121; 100-075249","Middle East Situation; Middle East / Near East; 2012-3121; 100-075249","中東情勢; 中東・中近東; 2012-3121; 100-075249; Middle East Situation; Middle East / Near East; 2012-3121; 100-075249; MIDEAST"
"mofa_100_075256","100-075256","https://da.mofa.go.jp/material-detail?id=100-075256","2012-3122","中東情勢","Middle East Situation","Partially Open","","","","Middle East / Near East","中東・中近東","","","","","","","","","","","","","","","","","中東情勢; 中東・中近東; 2012-3122; 100-075256","Middle East Situation; Middle East / Near East; 2012-3122; 100-075256","中東情勢; 中東・中近東; 2012-3122; 100-075256; Middle East Situation; Middle East / Near East; 2012-3122; 100-075256; MIDEAST"
"mofa_100_075268","100-075268","https://da.mofa.go.jp/material-detail?id=100-075268","2012-3153","中東情勢","Middle East Situation","Partially Open","","","","Middle East / Near East","中東・中近東","","","","","","","","","","","","","","","","","中東情勢; 中東・中近東; 2012-3153; 100-075268","Middle East Situation; Middle East / Near East; 2012-3153; 100-075268","中東情勢; 中東・中近東; 2012-3153; 100-075268; Middle East Situation; Middle East / Near East; 2012-3153; 100-075268; MIDEAST"
"mofa_100_073346","100-073346","https://da.mofa.go.jp/material-detail?id=100-073346","2011-0082","カンボディア問題","Cambodian Question","Access Review Required","","","","Asia","アジア","","","Cambodia","カンボディア／カンボジア","","","","","","","","","","","","","カンボディア問題; アジア; カンボディア／カンボジア; 2011-0082; 100-073346","Cambodian Question; Asia; Cambodia; 2011-0082; 100-073346","カンボディア問題; アジア; カンボディア／カンボジア; 2011-0082; 100-073346; Cambodian Question; Asia; Cambodia; 2011-0082; 100-073346; ASIA; KHM"
"mofa_100_006256","100-006256","https://da.mofa.go.jp/material-detail?id=100-006256","2011-0092","カンボディア問題（含、カンボディア民族連合王国政府）","Cambodian Question, Including the Royal Government of National Union of Cambodia","Partially Open","","","","Asia","アジア","","","Cambodia","カンボディア／カンボジア","","","","","","","","","","","","","カンボディア問題（含、カンボディア民族連合王国政府）; アジア; カンボディア／カンボジア; 2011-0092; 100-006256","Cambodian Question, Including the Royal Government of National Union of Cambodia; Asia; Cambodia; 2011-0092; 100-006256","カンボディア問題（含、カンボディア民族連合王国政府）; アジア; カンボディア／カンボジア; 2011-0092; 100-006256; Cambodian Question, Including the Royal Government of National Union of Cambodia; Asia; Cambodia; 2011-0092; 100-006256; ASIA; KHM"
"mofa_100_006840","100-006840","https://da.mofa.go.jp/material-detail?id=100-006840","2013-2495","中共・インド国境紛争","Sino-Indian Border Conflict","Partially Open","","","","Asia","アジア","","","India; People's Republic of China","インド; 中華人民共和国","","","","","","","","","","","","","中共・インド国境紛争; アジア; インド; 中華人民共和国; 2013-2495; 100-006840","Sino-Indian Border Conflict; Asia; India; People's Republic of China; 2013-2495; 100-006840","中共・インド国境紛争; アジア; インド; 中華人民共和国; 2013-2495; 100-006840; Sino-Indian Border Conflict; Asia; India; People's Republic of China; 2013-2495; 100-006840; ASIA; PRC;IND"
"mofa_100_070112","100-070112","https://da.mofa.go.jp/material-detail?id=100-070112","2013-3457","中共・インド国境紛争","Sino-Indian Border Conflict","Open","","","","Asia","アジア","","","India; People's Republic of China","インド; 中華人民共和国","","","","","","","","","","","","","中共・インド国境紛争; アジア; インド; 中華人民共和国; 2013-3457; 100-070112","Sino-Indian Border Conflict; Asia; India; People's Republic of China; 2013-3457; 100-070112","中共・インド国境紛争; アジア; インド; 中華人民共和国; 2013-3457; 100-070112; Sino-Indian Border Conflict; Asia; India; People's Republic of China; 2013-3457; 100-070112; ASIA; PRC;IND"
"mofa_100_102145","100-102145","https://da.mofa.go.jp/material-detail?id=100-102145","2014-3238","アフガニスタン問題","Afghanistan Question","Partially Open","","","","Asia","アジア","","","Afghanistan","アフガニスタン","","","","","","","","","","","","","アフガニスタン問題; アジア; アフガニスタン; 2014-3238; 100-102145","Afghanistan Question; Asia; Afghanistan; 2014-3238; 100-102145","アフガニスタン問題; アジア; アフガニスタン; 2014-3238; 100-102145; Afghanistan Question; Asia; Afghanistan; 2014-3238; 100-102145; ASIA; AFG"
"mofa_100_111045","100-111045","https://da.mofa.go.jp/material-detail?id=100-111045","2016-1363","中東問題/紅海における爆雷爆発事件","Middle East Question: Mine Explosion Incident in the Red Sea","Partially Open","","","","Middle East / Near East","中東・中近東","","","","","","","","","","","","","","","","","中東問題/紅海における爆雷爆発事件; 中東・中近東; 2016-1363; 100-111045","Middle East Question: Mine Explosion Incident in the Red Sea; Middle East / Near East; 2016-1363; 100-111045","中東問題/紅海における爆雷爆発事件; 中東・中近東; 2016-1363; 100-111045; Middle East Question: Mine Explosion Incident in the Red Sea; Middle East / Near East; 2016-1363; 100-111045; MIDEAST"
"mofa_100_113375","100-113375","https://da.mofa.go.jp/material-detail?id=100-113375","2017-0685","中東問題","Middle East Question","Access Review Required","","","","Middle East / Near East","中東・中近東","","","","","","","","","","","","","","","","","中東問題; 中東・中近東; 2017-0685; 100-113375","Middle East Question; Middle East / Near East; 2017-0685; 100-113375","中東問題; 中東・中近東; 2017-0685; 100-113375; Middle East Question; Middle East / Near East; 2017-0685; 100-113375; MIDEAST"
"mofa_100_114105","100-114105","https://da.mofa.go.jp/material-detail?id=100-114105","2018-0150","イラン・イラク問題","Iran-Iraq Question","Access Review Required","","","","Middle East / Near East","中東・中近東","","","Iran; Iraq","イラン; イラク","","","","","","","","","","","","","イラン・イラク問題; 中東・中近東; イラン; イラク; 2018-0150; 100-114105","Iran-Iraq Question; Middle East / Near East; Iran; Iraq; 2018-0150; 100-114105","イラン・イラク問題; 中東・中近東; イラン; イラク; 2018-0150; 100-114105; Iran-Iraq Question; Middle East / Near East; Iran; Iraq; 2018-0150; 100-114105; MIDEAST; IRN;IRQ"
