"tag_type","tag_id","preferred_label_en","preferred_label_jp","vocabulary_source"
"bloc","ASIAN_FREE_WORLD","Asian Free World","アジア自由圏","controlled_vocabulary_blocs_v02.csv"
"bloc","ASIAN_GROUP","Asian Group","アジア・グループ","controlled_vocabulary_blocs_v02.csv"
"bloc","GROUP_B","UNCTAD Group B","UNCTAD・Bグループ（先進国グループ）","controlled_vocabulary_blocs_v02.csv"
"bloc","GROUP_OF_77","Group of 77","77か国グループ","controlled_vocabulary_blocs_v02.csv"
"bloc","NON_ALIGNED_MOVEMENT","Non-Aligned Movement","非同盟運動／非同盟諸国","controlled_vocabulary_blocs_v02.csv"
"bloc","SOCIALIST_BLOC","Socialist Bloc / Socialist Camp","社会主義圏／社会主義陣営","controlled_vocabulary_blocs_v02.csv"
"entity","AFG","Afghanistan","アフガニスタン","controlled_vocabulary_entities_v08.csv"
"entity","AGO","Angola","アンゴラ","controlled_vocabulary_entities_v08.csv"
"entity","ALB","Albania","アルバニア","controlled_vocabulary_entities_v08.csv"
"entity","ARG","Argentina","アルゼンチン","controlled_vocabulary_entities_v08.csv"
"entity","AUS","Australia","オーストラリア","controlled_vocabulary_entities_v08.csv"
"entity","BEN","Dahomey / Benin","ダホメ／ベナン","controlled_vocabulary_entities_v08.csv"
"entity","BOL","Bolivia","ボリビア","controlled_vocabulary_entities_v08.csv"
"entity","BRA","Brazil","ブラジル","controlled_vocabulary_entities_v08.csv"
"entity","CHL","Chile","チリ","controlled_vocabulary_entities_v08.csv"
"entity","CHN_AMBIG","China Representation and Recognition Competition","中国代表権・承認競争","controlled_vocabulary_entities_v08.csv"
"entity","CIV","Cote d'Ivoire","コートジボワール","controlled_vocabulary_entities_v08.csv"
"entity","COD","Democratic Republic of the Congo / Zaire","コンゴ民主共和国／ザイール","controlled_vocabulary_entities_v08.csv"
"entity","COG","Republic of the Congo","コンゴ共和国","controlled_vocabulary_entities_v08.csv"
"entity","COL","Colombia","コロンビア","controlled_vocabulary_entities_v08.csv"
"entity","CUB","Cuba","キューバ","controlled_vocabulary_entities_v08.csv"
"entity","DEU_W","West Germany / Federal Republic of Germany","西ドイツ／ドイツ連邦共和国","controlled_vocabulary_entities_v08.csv"
"entity","DNK","Denmark","デンマーク","controlled_vocabulary_entities_v08.csv"
"entity","DOM","Dominican Republic","ドミニカ共和国","controlled_vocabulary_entities_v08.csv"
"entity","DRV","Democratic Republic of Vietnam / North Vietnam","ヴィエトナム民主共和国／北ベトナム","controlled_vocabulary_entities_v08.csv"
"entity","ECU","Ecuador","エクアドル","controlled_vocabulary_entities_v08.csv"
"entity","EGY","Egypt","エジプト","controlled_vocabulary_entities_v08.csv"
"entity","ETH","Ethiopia","エチオピア","controlled_vocabulary_entities_v08.csv"
"entity","FRA","France","フランス","controlled_vocabulary_entities_v08.csv"
"entity","FRG","Federal Republic of Germany / West Germany","西ドイツ／ドイツ連邦共和国","controlled_vocabulary_entities_v08.csv"
"entity","GHA","Ghana","ガーナ","controlled_vocabulary_entities_v08.csv"
"entity","IDN","Indonesia","インドネシア","controlled_vocabulary_entities_v08.csv"
"entity","IND","India","インド","controlled_vocabulary_entities_v08.csv"
"entity","IRN","Iran","イラン","controlled_vocabulary_entities_v08.csv"
"entity","IRQ","Iraq","イラク","controlled_vocabulary_entities_v08.csv"
"entity","ISR","Israel","イスラエル","controlled_vocabulary_entities_v08.csv"
"entity","JPN","Japan","日本","controlled_vocabulary_entities_v08.csv"
"entity","KEN","Kenya","ケニア","controlled_vocabulary_entities_v08.csv"
"entity","KHM","Cambodia","カンボディア／カンボジア","controlled_vocabulary_entities_v08.csv"
"entity","KOR","Republic of Korea / South Korea","韓国／大韓民国","controlled_vocabulary_entities_v08.csv"
"entity","KWT","Kuwait","クウェート","controlled_vocabulary_entities_v08.csv"
"entity","LAO","Laos","ラオス","controlled_vocabulary_entities_v08.csv"
"entity","LBR","Liberia","リベリア","controlled_vocabulary_entities_v08.csv"
"entity","LBY","Libya","リビア","controlled_vocabulary_entities_v08.csv"
"entity","LKA","Ceylon / Sri Lanka","セイロン／スリランカ","controlled_vocabulary_entities_v08.csv"
"entity","MAR","Morocco","モロッコ","controlled_vocabulary_entities_v08.csv"
"entity","MDG","Madagascar","マダガスカル","controlled_vocabulary_entities_v08.csv"
"entity","MEX","Mexico","メキシコ","controlled_vocabulary_entities_v08.csv"
"entity","MMR","Myanmar/Burma","ビルマ／ミャンマー","controlled_vocabulary_entities_v08.csv"
"entity","MWI","Malawi","マラウィ","controlled_vocabulary_entities_v08.csv"
"entity","MYS","Malaysia","マレーシア","controlled_vocabulary_entities_v08.csv"
"entity","NGA","Nigeria","ナイジェリア","controlled_vocabulary_entities_v08.csv"
"entity","NPL","Nepal","ネパール","controlled_vocabulary_entities_v08.csv"
"entity","NYASALAND","Nyasaland","ニアサランド","controlled_vocabulary_entities_v08.csv"
"entity","NZL","New Zealand","ニュージーランド","controlled_vocabulary_entities_v08.csv"
"entity","PAK","Pakistan","パキスタン","controlled_vocabulary_entities_v08.csv"
"entity","PAN","Panama","パナマ","controlled_vocabulary_entities_v08.csv"
"entity","PER","Peru","ペルー","controlled_vocabulary_entities_v08.csv"
"entity","POL","Poland","ポーランド","controlled_vocabulary_entities_v08.csv"
"entity","PRC","People's Republic of China","中華人民共和国","controlled_vocabulary_entities_v08.csv"
"entity","PRT","Portugal","ポルトガル","controlled_vocabulary_entities_v08.csv"
"entity","PRY","Paraguay","パラグアイ","controlled_vocabulary_entities_v08.csv"
"entity","ROC","Republic of China","中華民国","controlled_vocabulary_entities_v08.csv"
"entity","SAU","Saudi Arabia","サウディ・アラビア","controlled_vocabulary_entities_v08.csv"
"entity","SDN","Sudan","スーダン","controlled_vocabulary_entities_v08.csv"
"entity","SEN","Senegal","セネガル","controlled_vocabulary_entities_v08.csv"
"entity","SGP","Singapore","シンガポール","controlled_vocabulary_entities_v08.csv"
"entity","SLE","Sierra Leone","シエラレオネ","controlled_vocabulary_entities_v08.csv"
"entity","SYR","Syria","シリア","controlled_vocabulary_entities_v08.csv"
"entity","THA","Thailand","タイ","controlled_vocabulary_entities_v08.csv"
"entity","TUN","Tunisia","チュニジア","controlled_vocabulary_entities_v08.csv"
"entity","TUR","Turkey","トルコ","controlled_vocabulary_entities_v08.csv"
"entity","TWN","Taiwan","台湾","controlled_vocabulary_entities_v08.csv"
"entity","URY","Uruguay","ウルグアイ","controlled_vocabulary_entities_v08.csv"
"entity","USA","United States","米国","controlled_vocabulary_entities_v08.csv"
"entity","USSR","Soviet Union","ソ連","controlled_vocabulary_entities_v08.csv"
"entity","VEN","Venezuela","ベネズエラ","controlled_vocabulary_entities_v08.csv"
"entity","VNM","Vietnam","ベトナム／ヴィエトナム","controlled_vocabulary_entities_v08.csv"
"entity","YEM","Yemen","イエメン","controlled_vocabulary_entities_v08.csv"
"entity","ZAF","South Africa","南アフリカ共和国","controlled_vocabulary_entities_v08.csv"
"entity","ZMB","Zambia","ザンビア","controlled_vocabulary_entities_v08.csv"
"event","AAPSO_CONFERENCE_SERIES","Afro-Asian People's Solidarity Conference / AAPSO Conference Series","アジア・アフリカ人民連帯会議／AAPSO系会議","controlled_vocabulary_events_v12.csv"
"event","BANDUNG_1955","Asian-African Conference (Bandung Conference)","アジア・アフリカ会議（バンドン会議）","controlled_vocabulary_events_v12.csv"
"event","CAMBODIA_INTL_CONFERENCE_1981","International Conference on Kampuchea / Cambodia, 1981","1981年カンボジア問題国際会議","controlled_vocabulary_events_v12.csv"
"event","KASHMIR_PRINCESS_INCIDENT_1955","Kashmir Princess Incident","カシミール・プリンセス号事件","controlled_vocabulary_events_v12.csv"
"event","NAM_SUMMIT_3_1970","Third Conference of Heads of State or Government of Non-Aligned Countries","第三回非同盟諸国首脳会議","controlled_vocabulary_events_v12.csv"
"event","NIXON_CHINA_VISIT_ANNOUNCEMENT_1971","Announcement of Nixon's Visit to China","ニクソン訪中発表","controlled_vocabulary_events_v12.csv"
"event","SECOND_AA_CONF_1965_PLANNED","Planned Second Asian-African Conference (Algiers)","第二回アジア・アフリカ会議（アルジェ予定会議）","controlled_vocabulary_events_v12.csv"
"event","UNCTAD_III_1972","Third Session of UNCTAD","UNCTAD第三回総会","controlled_vocabulary_events_v12.csv"
"event","UNGA_25_1970","25th Session of the United Nations General Assembly","第25回国連総会","controlled_vocabulary_events_v12.csv"
"event","UNGA_26_1971","26th Session of the United Nations General Assembly","第26回国連総会","controlled_vocabulary_events_v12.csv"
"event","UNGA_30_1975","30th Session of the United Nations General Assembly","第30回国連総会","controlled_vocabulary_events_v12.csv"
"keyword","AAPSO","Afro-Asian People's Solidarity","アジア・アフリカ人民連帯","controlled_vocabulary_keywords_v17.csv"
"keyword","AFRO_ASIAN_CONF","Asian-African Conference","アジア・アフリカ会議","controlled_vocabulary_keywords_v17.csv"
"keyword","AFRO_ASIAN_SOLIDARITY","Afro-Asian Solidarity","アジア・アフリカ連帯","controlled_vocabulary_keywords_v17.csv"
"keyword","BANDUNG_CONFERENCE","Bandung Conference","バンドン会議","controlled_vocabulary_keywords_v17.csv"
"keyword","BILAT","Bilateral Relations","二国間関係","controlled_vocabulary_keywords_v17.csv"
"keyword","COMMITTEE_ACTIVITIES","Committee Activities","委員会活動","controlled_vocabulary_keywords_v17.csv"
"keyword","CONFERENCE_DIPLOMACY","Conference Diplomacy","会議外交","controlled_vocabulary_keywords_v17.csv"
"keyword","CONFERENCE_FOLLOW_UP_MECHANISM","Conference Follow-up Mechanism","会議後連絡体制","controlled_vocabulary_keywords_v17.csv"
"keyword","DECOL","Decolonization","脱植民地化","controlled_vocabulary_keywords_v17.csv"
"keyword","DIP","Diplomacy","外交","controlled_vocabulary_keywords_v17.csv"
"keyword","DIPLOMATIC_LIAISON","Diplomatic Liaison","外交連絡／連絡官","controlled_vocabulary_keywords_v17.csv"
"keyword","DIPLOMATIC_LOBBYING","Diplomatic Lobbying","外交ロビー活動","controlled_vocabulary_keywords_v17.csv"
"keyword","DIPLOMATIC_RECOGNITION","Diplomatic Recognition","外交承認","controlled_vocabulary_keywords_v17.csv"
"keyword","ECON_COOP","Economic Cooperation","経済協力","controlled_vocabulary_keywords_v17.csv"
"keyword","ECONOMIC_SEMINAR","Economic Seminar","経済ゼミナール","controlled_vocabulary_keywords_v17.csv"
"keyword","FOREIGN_GOVERNMENT_ATTITUDES","Foreign Government Attitudes","諸外国政府の態度","controlled_vocabulary_keywords_v17.csv"
"keyword","GOVERNMENT_REACTIONS","Government Reactions","政府反応","controlled_vocabulary_keywords_v17.csv"
"keyword","GOVERNMENT_RECOGNITION_ISSUE","Recognition of Governments","政権承認問題","controlled_vocabulary_keywords_v17.csv"
"keyword","ICJ","International Court of Justice","国際司法裁判所","controlled_vocabulary_keywords_v17.csv"
"keyword","INFLUENCE_OPERATIONS","Influence Operations","影響工作","controlled_vocabulary_keywords_v17.csv"
"keyword","INTERNATIONAL_ORGANIZATION_ELECTIONS","International Organization Elections","国際機関選挙","controlled_vocabulary_keywords_v17.csv"
"keyword","INVITATION","Invitation","招請／招待","controlled_vocabulary_keywords_v17.csv"
"keyword","JAPANESE_DIPLOMATIC_REPORTING","Japanese Diplomatic Reporting","日本外交当局の報告","controlled_vocabulary_keywords_v17.csv"
"keyword","JAPANESE_POSITION","Japanese Position","日本の態度／日本の立場","controlled_vocabulary_keywords_v17.csv"
"keyword","JUDICIAL_ELECTIONS","Judicial Elections","裁判官選挙","controlled_vocabulary_keywords_v17.csv"
"keyword","LIAISON_OFFICER_APPOINTMENT","Liaison Officer Appointment","連絡官任命","controlled_vocabulary_keywords_v17.csv"
"keyword","MILITARY","Military Affairs","軍事","controlled_vocabulary_keywords_v17.csv"
"keyword","NATIONAL_LIBERATION_MOVEMENT","National Liberation Movement","民族解放運動","controlled_vocabulary_keywords_v17.csv"
"keyword","NIXON_VISIT_TO_PRC","President Nixon's Visit to the PRC","ニクソン米大統領訪中","controlled_vocabulary_keywords_v17.csv"
"keyword","NUCLEAR_ISSUES","Nuclear Issues","核・原子力問題","controlled_vocabulary_keywords_v17.csv"
"keyword","ORGANIZATIONAL_STRUCTURE","Organizational Structure","組織構造","controlled_vocabulary_keywords_v17.csv"
"keyword","PAN_AFRICAN","Pan-Africanism","パン・アフリカ主義","controlled_vocabulary_keywords_v17.csv"
"keyword","PARTICIPATION","Participation","参加状況","controlled_vocabulary_keywords_v17.csv"
"keyword","PARTICIPATION_INTENTION","Participation Intention","参加意向","controlled_vocabulary_keywords_v17.csv"
"keyword","PEOPLES_DIPLOMACY","People's Diplomacy","人民外交／民間外交","controlled_vocabulary_keywords_v17.csv"
"keyword","POLICY_PREPARATION","Policy Preparation","政策準備／方針準備","controlled_vocabulary_keywords_v17.csv"
"keyword","POLITICAL_WORK","Political Work","政治工作","controlled_vocabulary_keywords_v17.csv"
"keyword","POST_CONFERENCE_FOLLOW_UP","Post-Conference Follow-up","会議後フォローアップ","controlled_vocabulary_keywords_v17.csv"
"keyword","PRC_BURMA_RELATIONS","PRC-Burma Relations","中共・ビルマ関係","controlled_vocabulary_keywords_v17.csv"
"keyword","PRC_POSITION_ON_NUCLEAR_ISSUES","PRC Position on Nuclear Issues","原子力問題に対する中共の態度","controlled_vocabulary_keywords_v17.csv"
"keyword","PRC_ROC_COMPETITION","PRC-ROC Competition","中華人民共和国・中華民国競合","controlled_vocabulary_keywords_v17.csv"
"keyword","REC","Diplomatic Recognition","国家承認／外交承認","controlled_vocabulary_keywords_v17.csv"
"keyword","RECOGNITION_COMPETITION","Recognition Competition","承認競争","controlled_vocabulary_keywords_v17.csv"
"keyword","SECOND_AFRO_ASIAN_CONFERENCE","Second Asian-African Conference","第二回アジア・アフリカ会議","controlled_vocabulary_keywords_v17.csv"
"keyword","SECURITY","Security","安全保障","controlled_vocabulary_keywords_v17.csv"
"keyword","SUPPORT_REQUEST","Support Request","支持要請","controlled_vocabulary_keywords_v17.csv"
"keyword","THIRD_WORLD","Third World Diplomacy","第三世界外交","controlled_vocabulary_keywords_v17.csv"
"keyword","TRANSNATIONAL_POLITICAL_ORGANIZATION","Transnational Political Organization","越境的政治組織","controlled_vocabulary_keywords_v17.csv"
"keyword","UN","United Nations","国連","controlled_vocabulary_keywords_v17.csv"
"keyword","UN_CHINA_REPRESENTATION_ISSUE","UN China Representation Issue","国連中国代表権問題","controlled_vocabulary_keywords_v17.csv"
"keyword","UNGA","UN General Assembly","国連総会","controlled_vocabulary_keywords_v17.csv"
"keyword","US_PRC_RAPPROCHEMENT","US-PRC Rapprochement","米中接近","controlled_vocabulary_keywords_v17.csv"
"keyword","VOTE_COUNTING","Vote Counting","票読み","controlled_vocabulary_keywords_v17.csv"
"keyword","VOTING_BEHAVIOR","Voting Behavior","投票行動","controlled_vocabulary_keywords_v17.csv"
"organization","AAPSO","Afro-Asian People's Solidarity Organization","アジア・アフリカ人民連帯機構","controlled_vocabulary_organizations_v08.csv"
"organization","ASEAN","Association of Southeast Asian Nations","東南アジア諸国連合／ASEAN","controlled_vocabulary_organizations_v08.csv"
"organization","EC","European Communities","欧州共同体","controlled_vocabulary_organizations_v08.csv"
"organization","ECAFE","Economic Commission for Asia and the Far East","国連アジア極東経済委員会","controlled_vocabulary_organizations_v08.csv"
"organization","ICJ","International Court of Justice","国際司法裁判所","controlled_vocabulary_organizations_v08.csv"
"organization","UN","United Nations","国際連合／国連","controlled_vocabulary_organizations_v08.csv"
"organization","UNCTAD","United Nations Conference on Trade and Development","国連貿易開発会議","controlled_vocabulary_organizations_v08.csv"
"organization","UNGA","United Nations General Assembly","国連総会","controlled_vocabulary_organizations_v08.csv"
"organization","UNSC","United Nations Security Council","国連安全保障理事会","controlled_vocabulary_organizations_v08.csv"
"organization","VIET_MINH","Viet Minh","ヴィエトミン","controlled_vocabulary_organizations_v08.csv"
"organization","WMO","World Meteorological Organization","世界気象機関","controlled_vocabulary_organizations_v08.csv"
"reaction_region","AFRICA","Africa","アフリカ","controlled_vocabulary_regions_v02.csv"
"reaction_region","AFRO_ASIA","Afro-Asia / Asian-African World","アジア・アフリカ","controlled_vocabulary_regions_v02.csv"
"reaction_region","AMERICAS","Americas","米州","controlled_vocabulary_regions_v02.csv"
"reaction_region","ASIA","Asia","アジア","controlled_vocabulary_regions_v02.csv"
"reaction_region","ASIA_PACIFIC","Asia-Pacific","アジア太平洋","controlled_vocabulary_regions_v02.csv"
"reaction_region","CENTRAL_AMERICA","Central America","中米","controlled_vocabulary_regions_v02.csv"
"reaction_region","EAST_ASIA","East Asia","東アジア","controlled_vocabulary_regions_v02.csv"
"reaction_region","EASTERN_EUROPE","Eastern Europe","東欧","controlled_vocabulary_regions_v02.csv"
"reaction_region","EUROPE","Europe","欧州・ヨーロッパ","controlled_vocabulary_regions_v02.csv"
"reaction_region","GLOBAL","Global / Worldwide","全世界","controlled_vocabulary_regions_v02.csv"
"reaction_region","LATIN_AMERICA","Latin America","ラテンアメリカ・中南米","controlled_vocabulary_regions_v02.csv"
"reaction_region","MIDEAST","Middle East / Near East","中東・中近東","controlled_vocabulary_regions_v02.csv"
"reaction_region","NORTH_AMERICA","North America","北米","controlled_vocabulary_regions_v02.csv"
"reaction_region","OCEANIA","Oceania / Pacific","オセアニア・太平洋","controlled_vocabulary_regions_v02.csv"
"reaction_region","SOUTH_ASIA","South Asia","南アジア","controlled_vocabulary_regions_v02.csv"
"reaction_region","SOUTHEAST_ASIA","Southeast Asia","東南アジア","controlled_vocabulary_regions_v02.csv"
"reaction_region","WESTERN_EUROPE","Western Europe","西欧","controlled_vocabulary_regions_v02.csv"
"region","AFRICA","Africa","アフリカ","controlled_vocabulary_regions_v02.csv"
"region","AFRO_ASIA","Afro-Asia / Asian-African World","アジア・アフリカ","controlled_vocabulary_regions_v02.csv"
"region","ASIA","Asia","アジア","controlled_vocabulary_regions_v02.csv"
"region","ASIA_PACIFIC","Asia-Pacific","アジア太平洋","controlled_vocabulary_regions_v02.csv"
"region","EAST_ASIA","East Asia","東アジア","controlled_vocabulary_regions_v02.csv"
"region","EUROPE","Europe","欧州・ヨーロッパ","controlled_vocabulary_regions_v02.csv"
"region","GLOBAL","Global / Worldwide","全世界","controlled_vocabulary_regions_v02.csv"
"region","MIDEAST","Middle East / Near East","中東・中近東","controlled_vocabulary_regions_v02.csv"
"region","NORTH_AMERICA","North America","北米","controlled_vocabulary_regions_v02.csv"
"region","SOUTH_ASIA","South Asia","南アジア","controlled_vocabulary_regions_v02.csv"
"region","SOUTHEAST_ASIA","Southeast Asia","東南アジア","controlled_vocabulary_regions_v02.csv"
"region","WESTERN_EUROPE","Western Europe","西欧","controlled_vocabulary_regions_v02.csv"
"related_organization","AA_CONF_JOINT_SECRETARIAT","Joint Secretariat of the Asian-African Conference","アジア・アフリカ会議合同事務局","controlled_vocabulary_organizations_v08.csv"
"related_organization","INDONESIA_CONSULATE_GENERAL_TOKYO","Consulate-General of the Republic of Indonesia in Tokyo","在東京インドネシア共和国総領事館","controlled_vocabulary_organizations_v08.csv"
"related_organization","INDONESIA_MFA","Ministry of Foreign Affairs of the Republic of Indonesia","インドネシア共和国外務省","controlled_vocabulary_organizations_v08.csv"
"related_organization","LAS","League of Arab States","アラブ連盟","controlled_vocabulary_organizations_v08.csv"
"related_organization","SEATO","Southeast Asia Treaty Organization","東南アジア条約機構","controlled_vocabulary_organizations_v08.csv"
