"keyword_id","preferred_label_en","preferred_label_jp","category","scope_note","use_for","related_terms"
"MIDEAST_SIT","Middle East Situation","中東情勢／中近東情勢","regional theme","Use for records concerning the Middle East broadly, including regional crises, diplomacy, and PRC relations with Middle Eastern states.","Middle East situation; Middle East issues; 中東情勢; 中近東情勢","PRC Middle East-Africa Relations; Iran-Iraq Issue"
"RED_SEA_MINE","Red Sea Mine Explosion Incident","紅海における爆雷爆発事件","incident","Use for the Red Sea mine/explosive incident referenced in Middle East issue records.","Red Sea mine incident; mine explosion; 紅海; 爆雷爆発事件","Middle East Situation; Maritime Security"
"MARITIME_SEC","Maritime Security","海上安全保障","security","Use for maritime incidents, naval security, sea lanes, mines, or Red Sea/Gulf maritime risks.","maritime security; sea lanes; 海上安全保障; 機雷","Red Sea Mine Explosion Incident"
"PRC_AFRICA","PRC-Africa Relations","中共・アフリカ関係","regional/bilateral theme","Use for PRC relations with African countries, including diplomacy, aid, visits, recognition competition, and foreign reactions.","China-Africa; PRC-Africa; 中共・アフリカ諸国関係","Third World Diplomacy; Foreign Economic Assistance"
"PRC_MEA","PRC-Middle East and Africa Relations","中共・中近東・アフリカ関係","regional theme","Use for records combining PRC relations with Middle Eastern and African countries.","PRC relations with Middle East and Africa; 中共・中近東、アフリカ諸国関係","PRC-Africa Relations; Middle East Situation; Third World Diplomacy"
"TRADE","Trade","貿易","economic","Use for trade relations, trade agreements, and trade policy.","trade; commerce; 貿易; 通商","Trade Agreements; Trade Statistics"
"TRADE_AGR","Trade Agreements","貿易協定","economic","Use for agreements between PRC/China and foreign countries concerning trade.","trade agreement; commercial agreement; 貿易協定","Trade"
"TRADE_STATS","Trade Statistics and Reference Materials","貿易統計・資料","economic/evidence type","Use for statistical/reference materials on trade, including Japan-related materials.","trade statistics; reference materials; 貿易統計; 資料","Trade"
"AID","Foreign Economic Assistance","対外経済援助","economic/development","Use for economic aid, development assistance, technical cooperation, or PRC foreign aid.","foreign aid; economic assistance; development aid; 対外経済援助; 援助","Third World Diplomacy; PRC-Africa Relations"
"MIL","Military Affairs","軍事","security","Use for defense, armed forces, military policy, military intervention, or conflict-related military matters.","military; defense; 国防; 軍事","Weapons and Armaments; Military Service"
"MIL_SERVICE","Military Service","兵役","security","Use for conscription, military service systems, or records comparing military service in various countries.","military service; conscription; 兵役","Military Affairs"
"ARMS","Weapons and Armaments","兵器・武器","security","Use for weapons, armaments, military equipment, and arms-related records.","weapons; armaments; arms; 兵器; 武器","Military Affairs"
"DEFENSE","National Defense","国防","security","Use for national defense and defense policy records of foreign countries.","defense; national defense; 国防","Military Affairs"
"REGIONAL_DIP","Regional Diplomacy","地域外交","diplomatic practice","Use for records organized by diplomatic region, such as Asia-Pacific or Middle East chiefs-of-mission meetings.","regional diplomacy; regional meeting; 地域外交","Embassy Chiefs Conference"
"ECON_COOP","Economic Cooperation","経済協力","economic/development","Use for bilateral or country-specific economic cooperation projects.","economic cooperation; 経済協力","Foreign Economic Assistance"
"MINISTER_VISIT","Ministerial Visit","閣僚訪問","diplomatic practice","Use for visits by ministers, such as trade/industry ministers, to foreign countries.","minister visit; ministerial visit; 大臣訪問; 閣僚訪問","Official Visits; Diplomacy"
"BANDUNG_CONFERENCE","Bandung Conference","バンドン会議","conference","Use specifically for the 1955 Asian-African Conference at Bandung.","Bandung; 1955 Asian-African Conference; AA会議","AFRO_ASIAN_CONF; DECOL; THIRD_WORLD"
"SECOND_AFRO_ASIAN_CONFERENCE","Second Asian-African Conference","第二回アジア・アフリカ会議","conference","Use for records concerning the planned/attempted second Asian-African Conference.","Second Afro-Asian Conference; 第二回AA会議","AFRO_ASIAN_CONF; PARTICIPATION"
"CONFERENCE_DIPLOMACY","Conference Diplomacy","会議外交","method","Use when the record concerns conference planning, agenda setting, invitations, participation, or procedural diplomacy.","conference politics; meeting diplomacy; 会議運営","PARTICIPATION; DIP"
"PARTICIPATION","Participation","参加状況","conference","Use for participation status, invitations, attendee lists, and participant selection in international conferences.","参加; 参加国; 代表団","CONFERENCE_DIPLOMACY; REPRESENTATION"
"REPRESENTATION","Political Representation","政治代表／代表資格","diplomatic status","Use for questions of representation, delegation legitimacy, and political standing outside the UN China-seat context.","representatives; delegation status; 代表資格","REP_CHINA; REC"
"JAPANESE_FOREIGN_POLICY","Japanese Foreign Policy","日本外交政策","policy","Use when Japan's position, proposals, or policy line is a substantive subject.","Japan's position; 日本の態度; 日本提案","JPN_PRC; DIP"
"PEOPLES_DIPLOMACY","People's Diplomacy","人民外交／民間外交","movement/network","Use for non-state, committee, solidarity, or people-to-people diplomacy in Afro-Asian contexts.","people-to-people diplomacy; popular diplomacy; 人民外交; 民間外交","AAPSO; AFRO_ASIAN_SOLIDARITY"
"AFRO_ASIAN_SOLIDARITY","Afro-Asian Solidarity","アジア・アフリカ連帯","movement/network","Use for Afro-Asian solidarity movements, committees, and transnational networks.","solidarity movement; AA solidarity; 人民連帯","AAPSO; PEOPLES_DIPLOMACY; THIRD_WORLD"
"NUCLEAR_WEAPONS","Nuclear Weapons","核兵器","security","Use for nuclear weapons, nuclear development, nuclear capability or suspected nuclear weapons programs.","nuclear development; atomic weapons; 核開発; 核兵器","ARMS; ARMS_RACE"
"ARMS_RACE","Arms Race","軍備競争","security","Use for regional or global arms race dynamics, including early nuclear competition.","military competition; 軍拡; 軍備競争","ARMS; NUCLEAR_WEAPONS"
"CONSCRIPTION","Conscription","徴兵／兵役制度","security","Use for conscription, military service obligations, draft systems or service requirements.","military service; draft; 兵役; 徴兵","MIL_SERVICE"
"SOUTH_SOUTH_RELATIONS","South-South Relations","南南関係","development/diplomacy","Use for relations among developing/postcolonial states, especially aid, economic seminars, and Afro-Asian networks.","South-South cooperation; developing world relations; 南南協力","THIRD_WORLD; ECON_COOP; AID"
"RECOG_COMP","Diplomatic Recognition Competition","国交樹立競争","diplomatic status","Use for competition between PRC and ROC/Taiwan over diplomatic recognition, especially in newly independent states.","recognition competition; PRC-ROC competition; diplomatic rivalry","Diplomatic Recognition; China Representation; PRC-Africa Relations; Taiwan"
"RECOG_SWITCH","Recognition Switching","承認切り替え","diplomatic status","Use for switching recognition between ROC and PRC or vice versa.","recognition switch; derecognition","Diplomatic Recognition; Diplomatic Recognition Competition"
"AFRICAN_AGENCY","African Agency","アフリカ諸国の主体性","analytical theme","Use when African states or political actors are treated as active agents in recognition, decolonization, diplomacy, or aid negotiations.","African agency; African initiative","PRC-Africa Relations; Decolonization; Diplomatic Recognition Competition"
"YEAR_AFRICA","Year of Africa","アフリカの年","period/framework","Use for records related to the 1960 wave of African independence and its diplomatic consequences.","1960; Year of Africa; African independence","Decolonization; Pan-Africanism; Third World Diplomacy; United Nations"
"PAN_AFRICAN","Pan-Africanism","パン・アフリカ主義","conference/movement","Use for African unity, solidarity, liberation movements, and continental cooperation.","Pan-Africanism; African unity","OAU; Decolonization; Liberation Movement"
"OAU","Organization of African Unity","アフリカ統一機構","international organization","Use for records concerning the OAU, founded in 1963, or African collective diplomacy.","OAU; Organisation of African Unity","Decolonization; Pan-Africanism; Third World Diplomacy"
"LIBERATION","National Liberation Movement","民族解放運動","political movement","Use for liberation movements, anti-colonial struggles, or pre-independence nationalist movements.","liberation movement; independence struggle","Decolonization; Foreign Intervention; African Agency"
"NEOCOL","Neocolonialism","新植民地主義","analytical theme","Use where records concern indirect control, economic dependency, postcolonial influence, or criticism of external influence as neocolonial.","neocolonialism; economic dependency","Decolonization; Third World Diplomacy; Foreign Economic Assistance"
"VIETNAM_CAMBODIA_CONFLICT","Vietnam-Cambodia Conflict","ベトナム・カンボジア紛争","conflict","Conflict and diplomatic confrontation surrounding Vietnam/Kampuchea-Cambodia after the Vietnamese intervention and the Cambodia/Kampuchea question.","Use for records concerning Vietnam-Cambodia/Kampuchea conflict, Vietnamese intervention/occupation, or international diplomacy over Cambodia in this context.","CAMBODIA_Q;INDOCHINA_CONFLICT;ASEAN_DIPLOMACY;CW"
"INDOCHINA_CONFLICT","Indochina Conflict","インドシナ紛争","regional conflict","Regional conflict dynamics involving Cambodia/Kampuchea, Vietnam, Laos, and wider Indochina diplomacy.","Use when records frame the Cambodia, Vietnam, Laos, or Indochina situation as a regional conflict.","CAMBODIA_Q;VIETNAM_CAMBODIA_CONFLICT;SOUTHEAST_ASIA_COMMUNISM"
"SOUTHEAST_ASIA_COMMUNISM","Southeast Asian Communism","東南アジア共産主義","ideology/political movement","Communist parties, communist regimes, and communist movement/diplomacy in Southeast Asia.","Use when records concern communist parties, communist regimes, or communist movement dynamics in Southeast Asia, especially Vietnam/Cambodia/Laos contexts.","CW;INDOCHINA_CONFLICT;CAMBODIA_Q"
"ASEAN_DIPLOMACY","ASEAN Diplomacy","ASEAN外交","regional diplomacy","Diplomacy by ASEAN or ASEAN member states as a regional diplomatic framework.","Use when ASEAN draft declarations, ASEAN common diplomacy, or ASEAN member-state coordination is central or explicitly mentioned.","REGIONAL_DIP;CONFERENCE_DIPLOMACY;CAMBODIA_Q"
"UN_CHINA_REPRESENTATION_ISSUE","UN China Representation Issue","国連中国代表権問題","international organization/diplomatic issue","Question of Chinese representation at the United Nations, especially PRC/ROC representation and the China seat.","Use for records concerning the UN China seat, China representation question, PRC/ROC competition for representation, and related government or media reactions.","REP_CHINA;PRC_UN_REPRESENTATION;ROC_UN_REPRESENTATION;PRC_ROC_COMPETITION;UNGA"
"PRC_UN_REPRESENTATION","PRC Representation at the UN","国連における中華人民共和国代表権","diplomatic status","PRC claim, position, or status regarding representation at the United Nations.","Use when the record concerns the PRC as claimant or holder of the China seat or PRC representation in the UN.","UN_CHINA_REPRESENTATION_ISSUE;PRC;REP_CHINA"
"ROC_UN_REPRESENTATION","ROC Representation at the UN","国連における中華民国代表権","diplomatic status","ROC position or status regarding representation at the United Nations.","Use when the record concerns ROC representation, loss of the China seat, or the ROC/Taiwan side of the representation question.","UN_CHINA_REPRESENTATION_ISSUE;ROC;TWN;REP_CHINA"
"PRC_ROC_COMPETITION","PRC-ROC Competition","中華人民共和国・中華民国競合","diplomatic competition","Competition between PRC and ROC over recognition, representation, legitimacy, or diplomatic status.","Use for records concerning PRC/ROC competition over diplomatic recognition, UN representation, or China legitimacy.","RECOG_COMP;UN_CHINA_REPRESENTATION_ISSUE;PRC_UN_REPRESENTATION;ROC_UN_REPRESENTATION"
"GOVERNMENT_REACTIONS","Government Reactions","政府反応","reaction/attitude","Responses or statements by governments or government officials.","Use for records collecting government reactions, official attitudes, or statements by government leaders and officials.","FOREIGN_GOVERNMENT_ATTITUDES;INTERNATIONAL_REACTION;REACT"
"FOREIGN_GOVERNMENT_ATTITUDES","Foreign Government Attitudes","諸外国政府の態度","reaction/attitude","Positions, attitudes, or policy views of foreign governments.","Use for records organized around foreign government attitudes or views.","GOVERNMENT_REACTIONS;REACT;VOTE"
"INTERNATIONAL_REACTION","International Reaction","国際的反応","reaction/attitude","International or cross-regional reactions to an event, decision, or diplomatic development.","Use for records collecting reactions across multiple countries or regions.","REACT;GOVERNMENT_REACTIONS;MEDIA_REACTIONS"
"MEDIA_REACTIONS","Media Reactions","報道反応／海外報道反応","press/reaction","Press or media reaction to an event or diplomatic development.","Use for records collecting overseas reporting, press commentary, or media reactions.","PRESS;INTERNATIONAL_REACTION"
"VOTING_BEHAVIOR","Voting Behavior","投票行動","UN diplomacy","Use for records concerning voting positions, vote choices, or expected voting behavior in international organizations.","投票態度;投票行動;voting behavior","UNGA;VOTE_COUNTING;FOREIGN_GOVERNMENT_ATTITUDES"
"VOTE_COUNTING","Vote Counting","票読み","UN diplomacy","Use for records concerning diplomatic estimates, tallies, or calculations of votes before or during international organization decisions.","票読み;票数計算;vote counting;vote estimates","VOTING_BEHAVIOR;DIPLOMATIC_LOBBYING;UNGA"
"DIPLOMATIC_LOBBYING","Diplomatic Lobbying","外交ロビー活動","diplomatic practice","Use for records concerning efforts to persuade, request support from, or coordinate with foreign governments on a diplomatic issue.","支持工作;働きかけ;ロビー活動;diplomatic lobbying","SUPPORT_REQUEST;FOREIGN_GOVERNMENT_ATTITUDES;DIP"
"SUPPORT_REQUEST","Support Request","支持要請","diplomatic practice","Use for records concerning requests for support from other governments, especially in recognition, voting, or conference diplomacy.","支持要請;協力要請;request for support","DIPLOMATIC_LOBBYING;VOTE_COUNTING;RECOG_COMP"
"JAPANESE_DIPLOMATIC_REPORTING","Japanese Diplomatic Reporting","日本外交当局の報告","diplomatic practice / source genre","Use for records centered on reporting, information gathering, instructions, cables, or assessments by Japanese diplomatic missions or the Japanese Ministry of Foreign Affairs.","在外公館報告;外務省報告;訓令;来電;外交報告;Japanese diplomatic reporting","DIP;FOREIGN_GOVERNMENT_ATTITUDES;VOTE_COUNTING;DIPLOMATIC_LOBBYING"
"US_PRC_RAPPROCHEMENT","US-PRC Rapprochement","米中接近","diplomatic relationship","Use for records concerning the diplomatic opening, rapprochement, or strategic realignment between the United States and the PRC.","米中接近;米中和解;米中関係改善;US-PRC rapprochement","NIXON_VISIT_TO_PRC;PRC_ROC_COMPETITION;UN_CHINA_REPRESENTATION_ISSUE"
"NIXON_VISIT_TO_PRC","President Nixon's Visit to the PRC","ニクソン米大統領訪中","diplomatic event","Use for records concerning President Richard Nixon's announced or actual visit to the PRC and related international reactions.","ニクソン訪中;ニクソン米大統領訪中;Nixon visit to China;Nixon visit to the PRC","US_PRC_RAPPROCHEMENT;FOREIGN_GOVERNMENT_ATTITUDES;MEDIA_REACTIONS"
"POST_CONFERENCE_FOLLOW_UP","Post-Conference Follow-up","会議後フォローアップ","diplomatic practice","Use for records concerning follow-up arrangements, implementation, liaison, or continuing contacts after an international conference.","会議後処理;会議後連絡;フォローアップ;post-conference follow-up","CONFERENCE_DIPLOMACY;DIPLOMATIC_LIAISON"
"DIPLOMATIC_LIAISON","Diplomatic Liaison","外交連絡／連絡官","diplomatic practice","Use for records concerning liaison officers, contact arrangements, diplomatic channels, or appointment of contact persons.","連絡官;連絡体制;外交連絡;liaison officer;diplomatic liaison","DIP;POST_CONFERENCE_FOLLOW_UP;CONFERENCE_DIPLOMACY"
"JAPANESE_POSITION","Japanese Position","日本の態度／日本の立場","diplomatic position","Use for records centered on the official position, policy line, or stance of Japan toward an international conference, issue, or diplomatic question.","日本の態度;日本の立場;日本側方針;Japanese position","JAPANESE_FOREIGN_POLICY;POLICY_PREPARATION;DIP"
"POLICY_PREPARATION","Policy Preparation","政策準備／方針準備","diplomatic practice","Use for preparatory policy materials, reference materials, drafts, instructions, or internal position-making before a conference or diplomatic negotiation.","参考資料;方針準備;政策準備;事前準備;policy preparation","JAPANESE_POSITION;CONFERENCE_DIPLOMACY;JAPANESE_DIPLOMATIC_REPORTING"
"SECURITY","Security","安全保障","security","Use for records concerning security affairs, defense questions, alliances, regional security, or strategic issues.","安全保障;安保;security","MILITARY;US_ALLIANCE_SYSTEM_IN_ASIA;REGIONAL_SECURITY_IN_SOUTHEAST_ASIA"
"MILITARY","Military Affairs","軍事","security","Use for records concerning military affairs, defense forces, armaments, military policy, or military aspects of diplomacy.","軍事;軍備;兵力;military","SECURITY;WEAPONS;ARMAMENTS"
"NUCLEAR_ISSUES","Nuclear Issues","核・原子力問題","security / technology","Use for records concerning nuclear weapons, nuclear energy, atomic issues, nuclear development, or diplomatic positions on nuclear questions.","原子力問題;核問題;核兵器;atomic issues;nuclear issues","SECURITY;MILITARY;PRC_POSITION_ON_NUCLEAR_ISSUES"
"PRC_POSITION_ON_NUCLEAR_ISSUES","PRC Position on Nuclear Issues","原子力問題に対する中共の態度","security / PRC diplomacy","Use for records specifically concerning the PRC or Communist China position on atomic or nuclear issues.","原子力問題に対する中共の態度;中共の核問題態度;PRC position on nuclear issues","PRC;NUCLEAR_ISSUES;SECURITY"
"NATIONAL_LIBERATION_MOVEMENT","National Liberation Movement","民族解放運動","political movement / decolonization","Use for records concerning national liberation movements, anti-colonial political-military movements, or diplomacy involving liberation movements as non-state actors.","民族解放運動;解放運動;liberation movement;national liberation movement","DECOL;THIRD_WORLD;VIET_MINH;CONFERENCE_DIPLOMACY"
"INVITATION","Invitation","招請／招待","conference diplomacy","Use for records concerning invitations, invitation policy, invitee selection, or diplomatic disputes over who should be invited to a conference.","招請;招待;招請問題;参加招請;invitation","PARTICIPATION;CONFERENCE_DIPLOMACY;PRC_ROC_COMPETITION"
"PARTICIPATION_INTENTION","Participation Intention","参加意向","conference diplomacy","Use for records concerning whether governments or political entities intend to participate, decline, or condition participation in a conference.","参加意向;参加希望;参加可否;participation intention","PARTICIPATION;INVITATION;CONFERENCE_DIPLOMACY"
"ORGANIZATIONAL_STRUCTURE","Organizational Structure","組織構造","organization / institutional structure","Use for records concerning committees, standing bodies, executive organs, domestic committees, regional branches, or institutional structure of an organization or movement.","組織構造;地区別委員会;国内委員会;常設委員会;執行委員会;organizational structure","AAPSO;TRANSNATIONAL_POLITICAL_ORGANIZATION;COMMITTEE"
"COMMITTEE_ACTIVITIES","Committee Activities","委員会活動","organization / institutional practice","Use for records concerning committee meetings, permanent committees, executive committees, national committees, or regional committee activities.","委員会;常設委員会;執行委員会;国内委員会;committee activities","ORGANIZATIONAL_STRUCTURE;AAPSO"
"ECONOMIC_SEMINAR","Economic Seminar","経済ゼミナール","conference / seminar","Use for records concerning economic seminars, study meetings, or seminar-series activity within diplomatic, solidarity, or transnational political organizations.","経済ゼミナール;経済セミナー;economic seminar","ECON_COOP;AAPSO;PEOPLES_DIPLOMACY"
"TRANSNATIONAL_POLITICAL_ORGANIZATION","Transnational Political Organization","越境的政治組織","organization type / political movement","Use for records concerning organizations or movements operating across national borders as political, solidarity, or ideological networks.","越境的政治組織;国際政治組織;transnational political organization","AAPSO;PEOPLES_DIPLOMACY;NATIONAL_LIBERATION_MOVEMENT"
"INTERNATIONAL_ORGANIZATION_ELECTIONS","International Organization Elections","国際機関選挙","international_organization","Elections for positions, judges, officers, or representatives in international organizations or related organs.","国際機関選挙; 国際機関の選挙; 国際機関人事; election in international organizations","JUDICIAL_ELECTIONS; UN; ICJ"
"JUDICIAL_ELECTIONS","Judicial Elections","裁判官選挙","international_law","Elections of judges for international courts or judicial bodies, including the International Court of Justice.","裁判官選挙; 判事選挙; ICJ judge election; judicial election","INTERNATIONAL_ORGANIZATION_ELECTIONS; ICJ; UN"
"DIPLOMATIC_RECOGNITION","Diplomatic Recognition","外交承認","diplomacy","Recognition of states, governments, or diplomatic relations.","外交承認; 国家承認; diplomatic recognition","GOVERNMENT_RECOGNITION_ISSUE; RECOGNITION_COMPETITION; PRC_ROC_COMPETITION"
"GOVERNMENT_RECOGNITION_ISSUE","Recognition of Governments","政権承認問題","diplomacy","Questions of recognizing foreign governments or regimes.","政権承認問題; 政権承認; recognition of governments","DIPLOMATIC_RECOGNITION; RECOGNITION_COMPETITION"
"RECOGNITION_COMPETITION","Recognition Competition","承認競争","diplomacy","Competition among governments or political entities over diplomatic recognition.","承認競争; 国交樹立競争; recognition competition","DIPLOMATIC_RECOGNITION; PRC_ROC_COMPETITION"
"POLITICAL_WORK","Political Work","政治工作","political activity","Political work, influence activity, or organized political operations by a state, party, or movement.","政治工作; political work; political operations","INFLUENCE_OPERATIONS; PROPAGANDA; SOUTHEAST_ASIA_COMMUNISM"
"INFLUENCE_OPERATIONS","Influence Operations","影響工作","political activity","Activities intended to shape opinion, alignments, or political behavior in another country or region.","影響工作; 対外工作; influence operations; political influence","POLITICAL_WORK; PROPAGANDA; DIPLOMATIC_LOBBYING"
"PRC_BURMA_RELATIONS","PRC-Burma Relations","中共・ビルマ関係","bilateral relations","Bilateral relations between the People's Republic of China and Burma/Myanmar.","ビルマ・中共関係; 中共・ビルマ関係; PRC-Burma relations; China-Burma relations","BILAT; POLITICAL_WORK; COLD_WAR_IN_SOUTHEAST_ASIA"
"LIAISON_OFFICER_APPOINTMENT","Liaison Officer Appointment","連絡官任命","diplomatic practice","Appointment of liaison officers or contact officials for conference follow-up or diplomatic coordination.","連絡官任命; 連絡官任命関係; liaison officer appointment","DIPLOMATIC_LIAISON; POST_CONFERENCE_FOLLOW_UP; BANDUNG_CONFERENCE"
"CONFERENCE_FOLLOW_UP_MECHANISM","Conference Follow-up Mechanism","会議後連絡体制","conference diplomacy","Post-conference liaison arrangements, follow-up mechanisms, or coordination structures.","会議後連絡体制; 会議連絡官; post-conference mechanism","POST_CONFERENCE_FOLLOW_UP; DIPLOMATIC_LIAISON; LIAISON_OFFICER_APPOINTMENT"
bloc_id	preferred_label_en	preferred_label_jp	bloc_type	broader_bloc_id	active_period	status	scope_note	use_when	do_not_use_when	aliases_original_terms	related_region_ids	related_organization_ids	example_applications	notes
